PRA ( Kampus B ),,,,,,DAY 1 (Kampus B),,,,,,DAY 3,,,,
"Tuesday, 1 September 2026",,,,,,"Senin, 7 September 2026",,,,,,"Saturday, 12 September 2026",,,,
NO,Awal,Akhir,Durasi,Kegiatan,,NO,Awal,Akhir,Durasi,Kegiatan,,NO,Awal,Akhir,Durasi,Kegiatan
1,6:30,7:00,0:30,"Kedatangan Panitia, Presensi Panitia",,1,5:30,6:00,0:30,"Kedatangan Panitia, Presensi Panitia, dan Pembagian sarapan ",,1,5:30,6:00,0:30,Kedatangan Panitia dan Presensi Panitia
2,7:00,7:30,0:30,Briefing Panitia,,2,6:00,6:30,0:30,Briefing Panitia + persiapan,,2,6:00,6:30,0:30,Briefing Panitia
3,7:30,7:40,0:10,Mobilisasi Peserta,,3,6:30,7:00,0:30,"Kedatangan, Presensi dan Pengecekan 
Barang Bawaan Peserta",,3,6:30,7:00,0:30,"Kedatangan, Presensi dan Pengecekan 
Barang Bawaan Peserta"
4,7:40,7:50,0:10,Persiapan dan Presensi Peserta,,4,7:00,7:10,0:10,Kedisiplinan Time,,4,7:00,7:15,0:15,Senam 
5,7:50,8:00,0:10,Pembukaan Pra ormik Aruna,,5,7:10,7:25,0:15,Mobilisasi Peserta ,,5,7:15,7:25,0:10,"Performance Pembukaan
Penampilan Pencak Silat"
6,8:00,8:05,0:05,Tilawah,,,7:25,7:35,0:10,"Pembacaan Dzikir bersama 
di pandu oleh panitia ",,6,7:25,7:30,0:05,Pembukaan MC
7,8:05,8:25,0:20,"Sambutan Project Officer Ormik Aruna 
serta Pengenalan ORMIK + OSJUR Kampus oleh 
Deni Yusuf",,6,7:35,7:50,0:15,"Grand Opening ORMIK ARUNA 2026
dengan Penampilan Tarian Ondel Ondel dari FunCraft  ",,7,7:30,7:35,0:05,Iklan Sponsor 
8,8:25,8:30,0:05,Sambutan PO OSJUR SI ,,7,7:50,7:55,0:05,Pembukaan oleh MC,,8,7:35,7:40,0:05,Tilawah
9,8:30,8:35,0:05,Sambutan PO OSJUR BD,,8,7:55,8:00,0:05,Tilawah,,9,7:40,7:45,0:05,"Sambutan Project Officer oleh 
Deni Yusuf "
11,8:35,8:40,0:05,Sambutan PO OSJUR TI,,9,8:00,8:10,0:10,"Pembacaan Pancasila, Menyanyikan Lagu Indonesia Raya, Mars dan Hymne STT NF",,10,7:45,7:55,0:10,"Sambutan Perwakilan Ketua STT NF oleh 
Davied Wahyu Wismanindra, S.Kom., M.M.
"
12,8:40,8:55,0:15,Kedisiplinan Time,,10,8:10,8:15,0:05,"Sambutan Project Oficer Oleh:  
Deni Yusuf",,11,7:55,8:40,0:45,"Talkshow ormawa  
- DPM 
- BEM 
- LDK SENADA  "
13,8:55,9:05,0:10,Medis Time,,11,8:15,8:20,0:05,"Sambutan pembukaan 
ORMIK 2026 oleh : 
Dr. Lukman Rosyidi, M.T, M.M.",,12,8:40,8:45,0:05,"Penyerahan Sertifikat dan
 Dokumentasi "
14,9:05,9:35,0:30,Kreatif time,,12,8:20,8:25,0:05,"Peresmian  ORMIK 2026  oleh : 
Dr. Lukman Rosyidi, M.T, M.M 

+
Dokumentasi ",,13,8:45,9:35,0:50,"Talkshow 
Pemateri external"
15,9:35,9:45,0:10,Pembagian Breakout Room,,13,8:25,9:15,0:50,"Sambutan sekaligus materi oleh 
Waket 1 Bidang Akademik : 
Salman El Farisi, S.Kom., M.Kom.

Penjelasan VMTS, Budaya STT-NF, 
Kenurulfikrian, Struktur Organisasi.",,14,9:35,9:45,0:10,Sesi tanya jawab
16,9:45,10:25,0:40,Mentor,,14,9:15,9:25,0:10,Sesi Tanya Jawab,,15,9:45,9:50,0:05,Penyerahan bingkisan dan Dokumentasi 
17,10:25,10:30,0:05,Mobilisasi Peserta OSJUR,,15,9:25,9:30,0:05,Dokumentasi,,16,9:50,10:20,0:30,Band Perfomance 
18,10:30,11:10,0:40,Osjur Time,,16,9:30,9:40,0:10,"Ice breaking 
( kreatif time )",,17,10:20,11:20,1:00,"ARUNA GOT TALENT 
( Penampilan dari tiap kelompok )"
19,11:10,11:15,0:05,Reminder Kedisiplinan,,17,9:40,10:30,0:50,"Talkshow Penyampaian 
Kode Etik Mahasiswa oleh:
 Tim Waket 3 dan CDC",,18,11:20,11:30,0:10,"Mobilisasi peserta 
untuk ishoma"
20,11:15,11:20,0:05,Presensi akhir,,18,10:30,10:40,0:10,Sesi Tanya Jawab,,19,11:30,12:50,1:20," ( ISHOMA )
Memaksimalkan masjid dan 
selebihnya di kelas "
21,11:20,11:25,0:05,Doa penutup,,19,10:40,10:45,0:05,Dokumentasi,,20,12:50,13:00,0:10,Mobilisasi Peserta 
22,11:25,11:30,0:05,Dokumentasi,,20,10:40,10:50,0:10,"Ice breaking 
( kreatif time )",,21,13:00,14:00,1:00,"Kunjungan Stand 
ORMAWA dan UKM"
23,11:30,11:35,0:05,Penutupan,,21,10:50,11:40,0:50,"Talkshow Kode Etik Mahasiswa 
terkait Akademik oleh 
Kepala Program Studi",,22,14:00,14:10,0:10,Mobilisasi Peserta untuk kembali
,,,,,,22,11:40,11:50,0:10,Sesi Tanya Jawab,,23,14:10,14:25,0:15,Award Aruna 
,,,,,,24,11:50,12:00,0:10,"Dokumentasi 
+ Mobilisasi ",,24,14:25,14:40,0:15,Flashmop panitia
,,,,,,25,12:00,13:00,1:00,ISHOMA,,25,14:40,14:45,0:05,Simbolis Penutupan
,,,,,,26,13:00,13:50,0:50,"Talkshow Layanan Mahasiswa
- BAAK
- Perpustakaan
- Keuangan",,26,14:45,14:50,0:05,Doa Penutup
,,,,,,27,13:50,13:55,0:05,Dokumentasi,,27,14:50,15:00,0:10,"Penutupan ORMIK ARUNA 2026
dan Dokumentasi"
,,,,,,28,13:55,14:05,0:10,"Ice breaking 
( kreatif time )",,28,15:00,15:10,0:10,Mobilisasi Peserta 
,,,,,,29,14:05,14:55,0:50,"Talkshow Fasilitas Mahasiswa
- BSP
- LTSI
- UPT. Lab",,29,15:10,16:00,0:50,sholat ashar & dzikir petang
,,,,,,30,14:55,15:00,0:05,Dokumentasi,,,,,,
,,,,,,31,15:00,15:15,0:15,Evaluasi day 1,,,,,,
,,,,,,32,15:15,15:20,0:05,Presensi pulang,,,,,,
,,,,,,33,15:20,15:25,0:05,Reminder peralatan Last Day,,,,,,
,,,,,,34,15:25,15:30,0:05,Dokumentasi,,,,,,
,,,,,,35,15:30,15:35,0:05,Penutupan Day 1 ORMIK ,,,,,,
